m,n,k,processes,threads,error,generation_time,first_communication_time,second_communication_time,parallel_time,serial_time
5000,5000,5000,0,4,0.000000,1.039005,0.000000,0.000000,10.217847,0.000000
5000,5000,5000,0,8,0.000000,0.971133,0.000000,0.000000,5.588669,0.000000
5000,5000,5000,0,12,0.000000,0.979215,0.000000,0.000000,3.754734,0.000000
5000,5000,5000,0,16,0.000000,1.011368,0.000000,0.000000,3.080400,0.000000
5000,5000,5000,0,20,0.000000,1.012566,0.000000,0.000000,2.566018,0.000000
5000,5000,5000,0,4,0.000000,1.020499,0.000000,0.000000,10.001578,0.000000
5000,5000,5000,0,8,0.000000,0.979827,0.000000,0.000000,5.077440,0.000000
5000,5000,5000,0,12,0.000000,0.983711,0.000000,0.000000,3.738763,0.000000
5000,5000,5000,0,16,0.000000,0.999468,0.000000,0.000000,2.933543,0.000000
5000,5000,5000,0,20,0.000000,0.982265,0.000000,0.000000,2.505216,0.000000
5000,5000,5000,0,4,0.000000,1.008414,0.000000,0.000000,9.927223,0.000000
5000,5000,5000,0,8,0.000000,0.991517,0.000000,0.000000,5.104704,0.000000
5000,5000,5000,0,12,0.000000,0.976762,0.000000,0.000000,3.752187,0.000000
5000,5000,5000,0,16,0.000000,0.971983,0.000000,0.000000,2.930304,0.000000
5000,5000,5000,0,20,0.000000,1.010396,0.000000,0.000000,2.459036,0.000000
10000,10000,10000,0,4,0.000002,3.929298,0.000000,0.000000,86.554109,324.349467
10000,10000,10000,0,8,0.000002,3.956423,0.000000,0.000000,46.092261,319.466780
10000,10000,10000,0,12,0.000002,3.899006,0.000000,0.000000,31.902462,323.552986
10000,10000,10000,0,16,0.000002,3.858975,0.000000,0.000000,24.333619,321.257728
10000,10000,10000,0,20,0.000002,3.916712,0.000000,0.000000,21.211319,319.848129
10000,10000,10000,0,4,0.000000,3.995470,0.000000,0.000000,85.057599,0.000000
10000,10000,10000,0,8,0.000000,3.991515,0.000000,0.000000,45.923132,0.000000
10000,10000,10000,0,12,0.000000,3.874092,0.000000,0.000000,32.109783,0.000000
10000,10000,10000,0,16,0.000000,3.967706,0.000000,0.000000,25.027213,0.000000
10000,10000,10000,0,20,0.000000,3.981013,0.000000,0.000000,20.713192,0.000000
10000,10000,10000,0,4,0.000000,3.920032,0.000000,0.000000,87.078841,0.000000
10000,10000,10000,0,8,0.000000,4.005678,0.000000,0.000000,45.773969,0.000000
10000,10000,10000,0,12,0.000000,3.964505,0.000000,0.000000,32.595914,0.000000
10000,10000,10000,0,16,0.000000,3.958927,0.000000,0.000000,26.477763,0.000000
10000,10000,10000,0,20,0.000000,3.987921,0.000000,0.000000,21.212606,0.000000
10000,10000,10000,0,4,0.000000,3.882149,0.000000,0.000000,85.168175,0.000000
10000,10000,10000,0,8,0.000000,3.913967,0.000000,0.000000,47.030575,0.000000
10000,10000,10000,0,12,0.000000,3.931875,0.000000,0.000000,32.267601,0.000000
10000,10000,10000,0,16,0.000000,3.871704,0.000000,0.000000,25.145860,0.000000
10000,10000,10000,0,20,0.000000,4.001547,0.000000,0.000000,20.480109,0.000000
2500,2500,32,0,4,0.000000,0.024267,0.000000,0.000000,0.031740,0.028633
2500,2500,32,0,8,0.000000,0.024790,0.000000,0.000000,0.019546,0.027708
2500,2500,32,0,12,0.000000,0.024813,0.000000,0.000000,0.015105,0.027108
2500,2500,32,0,16,0.000000,0.016500,0.000000,0.000000,0.011170,0.028611
2500,2500,32,0,20,0.000000,0.026327,0.000000,0.000000,0.008928,0.028413
2500,2500,32,0,4,0.000000,0.025541,0.000000,0.000000,0.031875,0.000000
2500,2500,32,0,8,0.000000,0.025518,0.000000,0.000000,0.020235,0.000000
2500,2500,32,0,12,0.000000,0.019090,0.000000,0.000000,0.015032,0.000000
2500,2500,32,0,16,0.000000,0.026396,0.000000,0.000000,0.011104,0.000000
2500,2500,32,0,20,0.000000,0.017114,0.000000,0.000000,0.009072,0.000000
2500,2500,32,0,4,0.000000,0.020652,0.000000,0.000000,0.031807,0.000000
2500,2500,32,0,8,0.000000,0.025561,0.000000,0.000000,0.020357,0.000000
2500,2500,32,0,12,0.000000,0.026139,0.000000,0.000000,0.014820,0.000000
2500,2500,32,0,16,0.000000,0.021161,0.000000,0.000000,0.010810,0.000000
