m,n,k,processes,threads,error,generation_time,first_communication_time,second_communication_time,parallel_time,serial_time
2500,2500,128,16,0,0.000000,0.033620,0.000605,0.123908,0.027349,0.000000
2500,2500,128,20,0,0.000000,0.040377,0.000805,0.150011,0.022272,0.000000
2500,2500,156,4,0,0.000000,0.018408,0.000379,0.025534,0.060884,0.180017
2500,2500,156,8,0,0.000000,0.018772,0.000671,0.050089,0.031973,0.180636
2500,2500,156,12,0,0.000000,0.027406,0.000286,0.083383,0.047357,0.176671
2500,2500,156,16,0,0.000000,0.034481,0.000806,0.123068,0.035620,0.183704
2500,2500,156,20,0,0.000000,0.041579,0.000706,0.151861,0.028970,0.180582
2500,2500,156,4,0,0.000000,0.017883,0.000603,0.026185,0.060502,0.000000
2500,2500,156,8,0,0.000000,0.018913,0.000488,0.050017,0.032304,0.000000
2500,2500,156,12,0,0.000000,0.027602,0.000575,0.075752,0.047150,0.000000
2500,2500,156,16,0,0.000000,0.035153,0.000737,0.123243,0.035539,0.000000
2500,2500,156,20,0,0.000000,0.039827,0.000710,0.152979,0.029003,0.000000
2500,2500,156,4,0,0.000000,0.018073,0.000375,0.025624,0.060527,0.000000
2500,2500,156,8,0,0.000000,0.018602,0.000364,0.049839,0.032042,0.000000
2500,2500,156,12,0,0.000000,0.028338,0.000382,0.096689,0.047153,0.000000
2500,2500,156,16,0,0.000000,0.033818,0.000383,0.122252,0.035625,0.000000
2500,2500,156,20,0,0.000000,0.040946,0.000803,0.154248,0.029151,0.000000
2500,2500,156,4,0,0.000000,0.018059,0.000597,0.025961,0.060362,0.000000
2500,2500,156,8,0,0.000000,0.018394,0.000723,0.049831,0.032083,0.000000
2500,2500,156,12,0,0.000000,0.027875,0.000700,0.089985,0.047160,0.000000
2500,2500,156,16,0,0.000000,0.033303,0.000702,0.122840,0.035594,0.000000
2500,2500,156,20,0,0.000000,0.041508,0.000797,0.156940,0.028960,0.000000
2500,5000,32,4,0,0.000000,0.017907,0.000392,0.051183,0.023762,0.064804
2500,5000,32,8,0,0.000000,0.025036,0.000586,0.099229,0.012876,0.073476
2500,5000,32,12,0,0.000000,0.043415,0.000673,0.176297,0.018294,0.074290
2500,5000,32,16,0,0.000000,0.057290,0.000645,0.247053,0.013851,0.065748
2500,5000,32,20,0,0.000000,0.072079,0.000669,0.324732,0.011453,0.076087
2500,5000,32,4,0,0.000000,0.016651,0.000437,0.050122,0.023703,0.000000
2500,5000,32,8,0,0.000000,0.025315,0.000544,0.100108,0.012558,0.000000
2500,5000,32,12,0,0.000000,0.042115,0.000496,0.178426,0.018325,0.000000
2500,5000,32,16,0,0.000000,0.056672,0.000641,0.245598,0.013927,0.000000
2500,5000,32,20,0,0.000000,0.074166,0.000699,0.305880,0.011471,0.000000
